id,title,composer,artist,key,time_signature,tempo,instrumentation,sections,dynamics,articulation,pedaling,matched_file_count,note_events,chord_events,view_count,duration_min,channel_follower_count,virality_coefficient,source,published_year,detected_language,country,source_paths,reference_count
indila-derni-re-danse-clip-officiel::indila,Indila - Dernière Danse (Clip Officiel),,Indila,,,,,,,,False,0,0,0,1400000000.0,3.225,6320000.0,221.51898734177215,most_viewed_2026,0,English,Unknown,,6
sia-elastic-heart-feat-shia-labeouf-maddie-ziegler-official-video::sia,Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video),,Sia,,,,,,,,False,0,0,0,1400000000.0,3.225,6320000.0,221.51898734177215,most_viewed_2026,0,English,Unknown,,6
naughty-boy-la-la-la-ft-sam-smith-official-video::naughty-boy,Naughty Boy - La la la ft. Sam Smith (Official Video),,Naughty Boy,,,,,,,,False,0,0,0,1390000000.0,3.225,6320000.0,219.9367088607595,most_viewed_2026,0,English,Unknown,,6
bts-idol-official-mv::unknown,BTS (방탄소년단) 'IDOL' Official MV,,Unknown,,,,,,,,False,0,0,0,1380000000.0,3.225,6320000.0,218.35443037974684,most_viewed_2026,0,Korean,Unknown,,6
aayat-arif-eid-mubarak-new-eid-nasheed-2020-official-video-beautiful-video-heera-gold::unknown,Aayat Arif | Eid Mubarak | New Eid Nasheed 2020 | Official Video | Beautiful Video | Heera Gold,,Unknown,,,,,,,,False,0,0,0,1380000000.0,3.225,6320000.0,218.35443037974684,most_viewed_2026,2020,English,Unknown,,6
travis-scott-sicko-mode-official-video-ft-drake::travis-scott,Travis Scott - SICKO MODE (Official Video) ft. Drake,,Travis Scott,,,,,,,,False,0,0,0,1370000000.0,3.225,6320000.0,216.77215189873417,most_viewed_2026,0,English,Unknown,,6
xxxtentacion-moonlight-official-music-video::xxxtentacion,XXXTENTACION - MOONLIGHT (OFFICIAL MUSIC VIDEO),,XXXTENTACION,,,,,,,,False,0,0,0,1370000000.0,3.225,6320000.0,216.77215189873417,most_viewed_2026,0,English,Unknown,,6
los-ngeles-azules-mis-sentimientos-ft-ximena-sari-ana::los-ngeles-azules,Los Ángeles Azules - Mis Sentimientos ft. Ximena Sariñana,,Los Ángeles Azules,,,,,,,,False,0,0,0,1370000000.0,3.225,6320000.0,216.77215189873417,most_viewed_2026,0,English,Unknown,,6
bts-fake-love-official-mv::unknown,BTS (방탄소년단) 'FAKE LOVE' Official MV,,Unknown,,,,,,,,False,0,0,0,1370000000.0,3.225,6320000.0,216.77215189873417,most_viewed_2026,0,Korean,Unknown,,6
marshmello-ft-bastille-happier-official-music-video::marshmello-ft-bastille,Marshmello ft. Bastille - Happier (Official Music Video),,Marshmello ft. Bastille,,,,,,,,False,0,0,0,1370000000.0,3.225,6320000.0,216.77215189873417,most_viewed_2026,0,English,Unknown,,6
ricky-martin-la-mordidita-official-video-ft-yotuel::ricky-martin,Ricky Martin - La Mordidita (Official Video) ft. Yotuel,,Ricky Martin,,,,,,,,False,0,0,0,1370000000.0,3.225,6320000.0,216.77215189873417,most_viewed_2026,0,English,Unknown,,6
migos-bad-and-boujee-ft-lil-uzi-vert-official-video::migos,Migos - Bad and Boujee ft Lil Uzi Vert [Official Video],,Migos,,,,,,,,False,0,0,0,1360000000.0,3.225,6320000.0,215.18987341772151,most_viewed_2026,0,English,Unknown,,6
paulo-londra-tal-vez-official-video::paulo-londra,Paulo Londra - Tal Vez (Official Video),,Paulo Londra,,,,,,,,False,0,0,0,1360000000.0,3.225,6320000.0,215.18987341772151,most_viewed_2026,0,English,Unknown,,6
shakira-la-la-la-brazil-2014-ft-carlinhos-brown::shakira,Shakira - La La La (Brazil 2014) ft. Carlinhos Brown,,Shakira,,,,,,,,False,0,0,0,1360000000.0,3.225,6320000.0,215.18987341772151,most_viewed_2026,0,English,Unknown,,6
red-hot-chili-peppers-californication-official-music-video-hd-upgrade::red-hot-chili-peppers,Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE],,Red Hot Chili Peppers,,,,,,,,False,0,0,0,1350000000.0,3.225,6320000.0,213.60759493670886,most_viewed_2026,0,English,Unknown,,6
j-balvin-safari-ft-pharrell-williams-bia-sky-official-video::j-balvin,"J Balvin - Safari ft. Pharrell Williams, BIA, Sky (Official Video)",,J Balvin,,,,,,,,False,0,0,0,1350000000.0,3.225,6320000.0,213.60759493670886,most_viewed_2026,0,English,Unknown,,6
justin-bieber-never-say-never-ft-jaden::justin-bieber,Justin Bieber - Never Say Never ft. Jaden,,Justin Bieber,,,,,,,,False,0,0,0,1350000000.0,3.225,6320000.0,213.60759493670886,most_viewed_2026,0,English,Unknown,,6
calum-scott-you-are-the-reason-official-video::calum-scott,Calum Scott - You Are The Reason (Official Video),,Calum Scott,,,,,,,,False,0,0,0,1350000000.0,3.225,6320000.0,213.60759493670886,most_viewed_2026,0,English,Unknown,,6
arc-ngel-sech-sigues-con-l-video-oficial::arc-ngel-sech,"Arcángel, Sech - Sigues Con Él (Video Oficial)",,"Arcángel, Sech",,,,,,,,False,0,0,0,1340000000.0,3.225,6320000.0,212.0253164556962,most_viewed_2026,0,English,Unknown,,6
maluma-el-perdedor-official-video::maluma,Maluma - El Perdedor (Official Video),,Maluma,,,,,,,,False,0,0,0,1340000000.0,3.225,6320000.0,212.0253164556962,most_viewed_2026,0,English,Unknown,,6
karol-g-provenza-official-video::karol-g,KAROL G - Provenza (Official Video),,KAROL G,,,,,,,,False,0,0,0,1340000000.0,3.225,6320000.0,212.0253164556962,most_viewed_2026,0,English,Unknown,,6
katy-perry-hot-n-cold-official-music-video::katy-perry,Katy Perry - Hot N Cold (Official Music Video),,Katy Perry,,,,,,,,False,0,0,0,1340000000.0,3.225,6320000.0,212.0253164556962,most_viewed_2026,0,English,Unknown,,6
rema-selena-gomez-calm-down-official-music-video::rema-selena-gomez,"Rema, Selena Gomez - Calm Down (Official Music Video)",,"Rema, Selena Gomez",,,,,,,,False,0,0,0,1340000000.0,3.225,6320000.0,212.0253164556962,most_viewed_2026,0,English,Unknown,,6
chino-nacho-me-voy-enamorando-remix-ft-farruko::chino-nacho,Chino & Nacho - Me Voy Enamorando (Remix) ft. Farruko,,Chino & Nacho,,,,,,,,False,0,0,0,1330000000.0,3.225,6320000.0,210.44303797468353,most_viewed_2026,0,English,Unknown,,6
maluma-borro-cassette-official-video::maluma,Maluma - Borro Cassette (Official Video),,Maluma,,,,,,,,False,0,0,0,1330000000.0,3.225,6320000.0,210.44303797468353,most_viewed_2026,0,English,Unknown,,6
yng-lvcas-peso-pluma-la-bebe-remix-video-oficial::yng-lvcas-peso-pluma,Yng Lvcas & Peso Pluma - La Bebe (Remix) [Video Oficial],,Yng Lvcas & Peso Pluma,,,,,,,,False,0,0,0,1330000000.0,3.225,6320000.0,210.44303797468353,most_viewed_2026,0,English,Unknown,,6
pitbull-give-me-everything-ft-ne-yo-afrojack-nayer::pitbull,"Pitbull - Give Me Everything ft. Ne-Yo, Afrojack, Nayer",,Pitbull,,,,,,,,False,0,0,0,1330000000.0,3.225,6320000.0,210.44303797468353,most_viewed_2026,0,English,Unknown,,6
skrillex-and-diplo-where-are-now-with-justin-bieber-official-video::skrillex-and-diplo,"Skrillex and Diplo - ""Where Are Ü Now"" with Justin Bieber (Official Video)",,Skrillex and Diplo,,,,,,,,False,0,0,0,1330000000.0,3.225,6320000.0,210.44303797468353,most_viewed_2026,0,English,Unknown,,6
akon-lonely-official-music-video::akon,Akon - Lonely (Official Music Video),,Akon,,,,,,,,False,0,0,0,1320000000.0,3.225,6320000.0,208.86075949367088,most_viewed_2026,0,English,Unknown,,6
dj-khaled-wild-thoughts-official-video-ft-rihanna-bryson-tiller::dj-khaled,"DJ Khaled - Wild Thoughts (Official Video) ft. Rihanna, Bryson Tiller",,DJ Khaled,,,,,,,,False,0,0,0,1320000000.0,3.225,6320000.0,208.86075949367088,most_viewed_2026,0,English,Unknown,,6
romeo-santos-eres-m-a-official-video::romeo-santos,Romeo Santos - Eres Mía (Official Video),,Romeo Santos,,,,,,,,False,0,0,0,1320000000.0,3.225,6320000.0,208.86075949367088,most_viewed_2026,0,English,Unknown,,6
fun-we-are-young-ft-janelle-mon-e-official-video::unknown,Fun.: We Are Young ft. Janelle Monáe [OFFICIAL VIDEO],,Unknown,,,,,,,,False,0,0,0,1320000000.0,3.225,6320000.0,208.86075949367088,most_viewed_2026,0,English,Unknown,,6
bonnie-tyler-total-eclipse-of-the-heart-turn-around-official-video::bonnie-tyler,Bonnie Tyler - Total Eclipse of the Heart (Turn Around) (Official Video),,Bonnie Tyler,,,,,,,,False,0,0,0,1310000000.0,3.225,6320000.0,207.27848101265823,most_viewed_2026,0,English,Unknown,,6
